,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint-philippe,44,RE,1594259064,64,-21.36,55.77,21.0,5.1
1,barrow,1,US,1594259081,70,71.29,-156.79,8.0,8.2
2,punta arenas,19,CL,1594258885,92,-53.15,-70.92,-2.0,5.1
3,busselton,12,AU,1594259184,85,-33.65,115.33,11.11,1.98
4,nikolskoye,74,RU,1594259091,87,59.7,30.79,11.0,2.0
5,vikramasingapuram,40,IN,1594259184,78,8.71,77.39,27.0,2.1
6,taltal,0,CL,1594259184,47,-25.4,-70.48,15.64,2.85
7,new norfolk,89,AU,1594259069,88,-42.78,147.06,7.22,0.91
8,mataura,100,NZ,1594259184,94,-46.19,168.86,6.15,2.49
9,ushuaia,75,AR,1594259185,64,-54.8,-68.3,4.0,2.1
10,georgetown,20,MY,1594258913,83,5.41,100.34,28.0,2.1
11,souillac,75,MU,1594259185,77,-20.52,57.52,21.0,5.7
12,axim,100,GH,1594259185,88,4.87,-2.24,24.27,4.13
13,port elizabeth,22,ZA,1594259113,34,-33.92,25.57,20.0,5.1
14,carnarvon,50,AU,1594259127,59,-24.87,113.63,16.0,7.7
15,rikitea,4,PF,1594259186,64,-23.12,-134.97,20.22,7.78
16,cape town,100,ZA,1594259110,36,-33.93,18.42,18.89,11.8
17,sakakah,0,SA,1594259186,28,29.97,40.21,27.0,4.1
18,bluff,100,NZ,1594259115,80,-46.6,168.33,9.89,6.08
19,diamantino,49,BR,1594259186,59,-14.41,-56.45,21.83,1.87
20,sydney mines,100,CA,1594259186,86,46.24,-60.22,14.44,3.13
21,puerto ayora,65,EC,1594259186,94,-0.74,-90.35,20.0,0.45
22,bredasdorp,100,ZA,1594259059,81,-34.53,20.04,7.0,1.5
23,hobart,75,AU,1594259163,70,-42.88,147.33,9.0,2.1
24,porangatu,0,BR,1594259115,49,-13.44,-49.15,19.45,0.42
25,tasiilaq,1,GL,1594259057,86,65.61,-37.64,5.0,3.6
26,jamestown,1,US,1594259061,69,42.1,-79.24,25.0,2.1
27,chokurdakh,86,RU,1594259187,61,70.63,147.92,12.95,4.82
28,kingori,98,TZ,1594259187,91,-3.28,36.98,16.86,1.96
29,tocopilla,0,CL,1594259188,57,-22.09,-70.2,15.65,0.43
30,sambava,83,MG,1594259188,84,-14.27,50.17,22.74,7.14
31,ode,100,NG,1594259188,98,7.79,5.71,20.44,2.63
32,sitka,90,US,1594258961,76,57.05,-135.33,14.0,1.97
33,vostok,100,RU,1594259068,100,46.49,135.88,13.11,1.51
34,marathon,1,US,1594259189,66,44.9,-89.77,29.0,4.1
35,leningradskiy,9,RU,1594259120,71,69.38,178.42,9.77,5.93
36,lillesand,0,NO,1594259189,58,58.25,8.38,12.0,4.1
37,atuona,3,PF,1594259189,74,-9.8,-139.03,26.51,5.35
38,kaitangata,99,NZ,1594259067,70,-46.28,169.85,10.0,4.47
39,hilo,75,US,1594259189,65,19.73,-155.09,28.0,6.2
40,foz do iguacu,90,BR,1594259189,93,-25.55,-54.59,11.0,1.34
41,fortuna,20,US,1594259190,77,40.6,-124.16,18.33,6.7
42,codrington,0,AU,1594259143,67,-38.27,141.97,12.04,6.06
43,arraial do cabo,59,BR,1594258890,79,-22.97,-42.03,22.48,8.4
44,sao jose da coroa grande,15,BR,1594259190,86,-8.9,-35.15,24.3,2.08
45,port blair,40,IN,1594259191,94,11.67,92.75,26.0,2.53
46,faya,95,SA,1594259134,55,18.39,42.45,20.0,0.63
47,jeremie,2,HT,1594259191,75,18.65,-74.12,27.46,0.15
48,lebu,100,CL,1594259191,78,-37.62,-73.65,8.89,5.3
49,hay river,40,CA,1594259109,55,60.82,-115.8,18.0,4.1
50,kapaa,75,US,1594259123,62,22.08,-159.32,29.0,8.2
51,saint-augustin,100,CA,1594259192,91,51.23,-58.65,13.98,6.73
52,arona,0,ES,1594259192,47,28.1,-16.68,25.56,7.2
53,hofn,88,IS,1594259186,72,64.25,-15.21,11.22,4.68
54,guangyuan,100,CN,1594259192,78,32.44,105.82,30.0,0.88
55,longyearbyen,75,SJ,1594258976,81,78.22,15.64,7.0,1.0
56,ostrovnoy,90,RU,1594259192,89,68.05,39.51,12.17,1.45
57,ceuta,0,ES,1594259193,78,35.89,-5.31,22.0,4.1
58,hervey bay,94,AU,1594259193,77,-25.3,152.85,20.0,1.79
59,severo-kurilsk,100,RU,1594259193,91,50.68,156.12,9.25,7.72
60,havelock,96,US,1594259193,94,34.88,-76.9,25.0,1.34
61,ancud,100,CL,1594259073,93,-41.87,-73.82,6.67,4.1
62,cabo san lucas,75,MX,1594259119,35,22.89,-109.91,31.11,3.1
63,te anau,80,NZ,1594259110,87,-45.42,167.72,5.37,0.59
64,qaanaaq,0,GL,1594259084,58,77.48,-69.36,7.44,0.17
65,necochea,100,AR,1594259140,92,-38.55,-58.74,3.89,4.02
66,olafsvik,47,IS,1594259194,73,64.89,-23.71,9.69,4.31
67,albany,0,US,1594259124,91,42.6,-73.97,23.33,1.19
68,jalu,0,LY,1594259194,77,29.03,21.55,23.58,2.81
69,tura,100,IN,1594259194,95,25.52,90.22,24.96,3.2
70,esperance,75,AU,1594259185,100,-33.87,121.9,10.0,4.6
71,thompson,90,CA,1594259195,73,55.74,-97.86,21.0,3.6
72,barinitas,100,VE,1594259195,85,8.76,-70.41,20.55,2.4
73,akyab,100,MM,1594259195,83,20.15,92.9,28.0,4.11
74,caala,0,AO,1594259195,47,-12.85,15.56,8.63,0.9
75,avarua,89,CK,1594259196,65,-21.21,-159.78,25.0,8.2
76,sao joao da barra,0,BR,1594259079,75,-21.64,-41.05,21.69,6.47
77,maxixe,1,MZ,1594259196,83,-23.86,35.35,18.63,2.91
78,la ronge,90,CA,1594259099,87,55.1,-105.28,15.0,6.7
79,namtsy,11,RU,1594259196,40,62.72,129.67,23.0,2.0
80,san patricio,90,MX,1594259196,74,19.22,-104.7,29.0,7.7
81,bathsheba,40,BB,1594259197,83,13.22,-59.52,27.0,5.7
82,barcelos,20,PT,1594259197,93,41.54,-8.62,17.78,0.26
83,yulara,28,AU,1594259197,33,-25.24,130.99,14.0,2.6
84,isla mujeres,20,MX,1594259197,79,21.23,-86.73,29.0,1.5
85,madaoua,0,NE,1594259197,56,14.07,5.96,28.64,6.15
86,iskateley,90,RU,1594259197,88,67.68,53.15,20.4,3.31
87,vaini,75,TO,1594259066,78,-21.2,-175.2,25.0,3.6
88,san carlos de bariloche,75,AR,1594259198,93,-41.15,-71.31,1.0,9.8
89,faanui,64,PF,1594259116,79,-16.48,-151.75,24.65,11.61
90,ucluelet,90,CA,1594258989,93,48.93,-125.55,14.44,1.5
91,nuuk,100,GL,1594259198,71,64.18,-51.72,14.0,15.4
92,brae,78,GB,1594259198,87,60.4,-1.35,10.0,4.1
93,provideniya,75,RU,1594259199,87,64.38,-173.3,8.0,4.0
94,nogliki,100,RU,1594259095,96,51.83,143.17,9.7,3.94
95,pevek,0,RU,1594259199,71,69.7,170.31,9.14,1.86
96,buala,2,SB,1594259199,70,-8.14,159.59,29.72,4.9
97,butaritari,94,KI,1594259199,76,3.07,172.79,28.86,7.43
